filename;ATTRIBUTE_type;ATTRIBUTE_microbe
Bacteroides_caccae_ATCC_43185_1.mzML;sample;Bacteroides_caccae_ATCC_43185
Bacteroides_caccae_ATCC_43185_2.mzML;sample;Bacteroides_caccae_ATCC_43185
Bacteroides_cellulosilyticus_DSM_14838_1.mzML;sample;Bacteroides_cellulosilyticus_DSM_14838
Bacteroides_cellulosilyticus_DSM_14838_2.mzML;sample;Bacteroides_cellulosilyticus_DSM_14838
Bacteroides_dorei_5_1_36_D4_1.mzML;sample;Bacteroides_dorei_5_1_36_D4
Bacteroides_dorei_5_1_36_D4_2.mzML;sample;Bacteroides_dorei_5_1_36_D4
Bacteroides_dorei_DSM_17855_1.mzML;sample;Bacteroides_dorei_DSM_17855
Bacteroides_dorei_DSM_17855_2.mzML;sample;Bacteroides_dorei_DSM_17855
Bacteroides_eggerthii_DSM_20697_1.mzML;sample;Bacteroides_eggerthii_DSM_20697
Bacteroides_eggerthii_DSM_20697_2.mzML;sample;Bacteroides_eggerthii_DSM_20697
Bacteroides_finegoldii_DSM_17565_1.mzML;sample;Bacteroides_finegoldii_DSM_17565
Bacteroides_finegoldii_DSM_17565_2.mzML;sample;Bacteroides_finegoldii_DSM_17565
Bacteroides_fragilis_3_1_12_1.mzML;sample;Bacteroides_fragilis_3_1_12
Bacteroides_fragilis_3_1_12_2.mzML;sample;Bacteroides_fragilis_3_1_12
Bacteroides_intestinalis_DSM_17393_1.mzML;sample;Bacteroides_intestinalis_DSM_17393
Bacteroides_intestinalis_DSM_17393_2.mzML;sample;Bacteroides_intestinalis_DSM_17393
Bacteroides_ovatus_ATCC_8483_1.mzML;sample;Bacteroides_ovatus_ATCC_8483
Bacteroides_ovatus_ATCC_8483_2.mzML;sample;Bacteroides_ovatus_ATCC_8483
Bacteroides_pectinophilus_ATCC_43243_1.mzML;sample;Bacteroides_pectinophilus_ATCC_43243
Bacteroides_pectinophilus_ATCC_43243_2.mzML;sample;Bacteroides_pectinophilus_ATCC_43243
Bacteroides_plebeius_DSM_17135_1.mzML;sample;Bacteroides_plebeius_DSM_17135
Bacteroides_plebeius_DSM_17135_2.mzML;sample;Bacteroides_plebeius_DSM_17135
Bacteroides_rodentium_DSM_26882_1.mzML;sample;Bacteroides_rodentium_DSM_26882
Bacteroides_rodentium_DSM_26882_2.mzML;sample;Bacteroides_rodentium_DSM_26882
Bacteroides_sp_1_1_6_1.mzML;sample;Bacteroides_sp_1_1_6
Bacteroides_sp_1_1_6_2.mzML;sample;Bacteroides_sp_1_1_6
Bacteroides_sp_2_1_16_1.mzML;sample;Bacteroides_sp_2_1_16
Bacteroides_sp_2_1_16_2.mzML;sample;Bacteroides_sp_2_1_16
Bacteroides_sp_2_1_22_1.mzML;sample;Bacteroides_sp_2_1_22
Bacteroides_sp_2_1_22_2.mzML;sample;Bacteroides_sp_2_1_22
Bacteroides_sp_3_1_19_1.mzML;sample;Bacteroides_sp_3_1_19
Bacteroides_sp_3_1_19_2.mzML;sample;Bacteroides_sp_3_1_19
Bacteroides_sp_9_1_42FAA_1.mzML;sample;Bacteroides_sp_9_1_42FAA
Bacteroides_sp_9_1_42FAA_2.mzML;sample;Bacteroides_sp_9_1_42FAA
Bacteroides_sp_D2_1.mzML;sample;Bacteroides_sp_D2
Bacteroides_sp_D2_2.mzML;sample;Bacteroides_sp_D2
Bacteroides_stercoris_ATCC_43183_1.mzML;sample;Bacteroides_stercoris_ATCC_43183
Bacteroides_stercoris_ATCC_43183_2.mzML;sample;Bacteroides_stercoris_ATCC_43183
Bacteroides_thetaiotaomicron_VPI-5482_1.mzML;sample;Bacteroides_thetaiotaomicron_VPI-5482
Bacteroides_thetaiotaomicron_VPI-5482_2.mzML;sample;Bacteroides_thetaiotaomicron_VPI-5482
Bacteroides_uniformis_ATCC_8492_1.mzML;sample;Bacteroides_uniformis_ATCC_8492
Bacteroides_uniformis_ATCC_8492_2.mzML;sample;Bacteroides_uniformis_ATCC_8492
Bacteroides_vulgatus_ATCC_8482_1.mzML;sample;Bacteroides_vulgatus_ATCC_8482
Bacteroides_vulgatus_ATCC_8482_2.mzML;sample;Bacteroides_vulgatus_ATCC_8482
Bacteroides_xylanisolvens_DSMZ_18836_1.mzML;sample;Bacteroides_xylanisolvens_DSMZ_18836
Bacteroides_xylanisolvens_DSMZ_18836_2.mzML;sample;Bacteroides_xylanisolvens_DSMZ_18836
Bifidobacterium_breve_DSM_20213_1.mzML;sample;Bifidobacterium_breve_DSM_20213
Bifidobacterium_breve_DSM_20213_2.mzML;sample;Bifidobacterium_breve_DSM_20213
Bifidobacterium_catenulatum_DSM_16992_1.mzML;sample;Bifidobacterium_catenulatum_DSM_16992
Bifidobacterium_pseudocatenulatum_DSM_20438_1.mzML;sample;Bifidobacterium_pseudocatenulatum_DSM_20438
Bifidobacterium_pseudocatenulatum_DSM_20438_2.mzML;sample;Bifidobacterium_pseudocatenulatum_DSM_20438
Blank_1.mzML;Blank;Blank
Blank_2.mzML;Blank;Blank
Blank_3.mzML;Blank;Blank
Blank_4.mzML;Blank;Blank
Blank_5.mzML;Blank;Blank
Blank_6.mzML;Blank;Blank
Blank_7.mzML;Blank;Blank
Blank_8.mzML;Blank;Blank
Blank_9.mzML;Blank;Blank
Blautia_hansenii_DSM_20583_1.mzML;sample;Blautia_hansenii_DSM_20583
Blautia_hydrogenotrophica_DSM_10507_1.mzML;sample;Blautia_hydrogenotrophica_DSM_10507
Blautia_hydrogenotrophica_DSM_10507_2.mzML;sample;Blautia_hydrogenotrophica_DSM_10507
Bryantella_formatexigens_DSM_14469_1.mzML;sample;Bryantella_formatexigens_DSM_14469
Bryantella_formatexigens_DSM_14469_2.mzML;sample;Bryantella_formatexigens_DSM_14469
Butyricimonas_virosa_DSM_23226_1.mzML;sample;Butyricimonas_virosa_DSM_23226
Butyricimonas_virosa_DSM_23226_2.mzML;sample;Butyricimonas_virosa_DSM_23226
Butyrivibrio_crossotus_DSM_2876_1.mzML;sample;Butyrivibrio_crossotus_DSM_2876
Butyrivibrio_crossotus_DSM_2876_2.mzML;sample;Butyrivibrio_crossotus_DSM_2876
Catenibacterium_mitsuokai_DSM_15897_1.mzML;sample;Catenibacterium_mitsuokai_DSM_15897
Catenibacterium_mitsuokai_DSM_15897_2.mzML;sample;Catenibacterium_mitsuokai_DSM_15897
Clostridium_asparagiforme_DSM_15981_1.mzML;sample;Clostridium_asparagiforme_DSM_15981
Clostridium_asparagiforme_DSM_15981_2.mzML;sample;Clostridium_asparagiforme_DSM_15981
Clostridium_bolteae_ATCC_BAA-613_1.mzML;sample;Clostridium_bolteae_ATCC_BAA-613
Clostridium_bolteae_ATCC_BAA-613_2.mzML;sample;Clostridium_bolteae_ATCC_BAA-613
Clostridium_hathewayi_DSM_13479_1.mzML;sample;Clostridium_hathewayi_DSM_13479
Clostridium_hathewayi_DSM_13479_2.mzML;sample;Clostridium_hathewayi_DSM_13479
Clostridium_hylemonae_DSM_15053_1.mzML;sample;Clostridium_hylemonae_DSM_15053
Clostridium_hylemonae_DSM_15053_2.mzML;sample;Clostridium_hylemonae_DSM_15053
Clostridium_leptum_DSM_753_1.mzML;sample;Clostridium_leptum_DSM_753
Clostridium_leptum_DSM_753_2.mzML;sample;Clostridium_leptum_DSM_753
Clostridium_methylpentosum_DSM_5476_1.mzML;sample;Clostridium_methylpentosum_DSM_5476
Clostridium_methylpentosum_DSM_5476_2.mzML;sample;Clostridium_methylpentosum_DSM_5476
Clostridium_nexile_DSM_1787_1.mzML;sample;Clostridium_nexile_DSM_1787
Clostridium_nexile_DSM_1787_2.mzML;sample;Clostridium_nexile_DSM_1787
Clostridium_saccharolyticum_WM1_1.mzML;sample;Clostridium_saccharolyticum_WM1
Clostridium_saccharolyticum_WM1_2.mzML;sample;Clostridium_saccharolyticum_WM1
Clostridium_scindens_ATCC_35704_1.mzML;sample;Clostridium_scindens_ATCC_35704
Clostridium_scindens_ATCC_35704_2.mzML;sample;Clostridium_scindens_ATCC_35704
Clostridium_sp_L2-50_1.mzML;sample;Clostridium_sp_L2-50
Clostridium_sp_L2-50_2.mzML;sample;Clostridium_sp_L2-50
Clostridium_sp_M62_1_1.mzML;sample;Clostridium_sp_M62_1
Clostridium_sp_M62_1_2.mzML;sample;Clostridium_sp_M62_1
Clostridium_spiroforme_DSM_1552_1.mzML;sample;Clostridium_spiroforme_DSM_1552
Clostridium_spiroforme_DSM_1552_2.mzML;sample;Clostridium_spiroforme_DSM_1552
Collinsella_aerofaciens_ATCC_25986_1.mzML;sample;Collinsella_aerofaciens_ATCC_25986
Collinsella_aerofaciens_ATCC_25986_2.mzML;sample;Collinsella_aerofaciens_ATCC_25986
Collinsella_stercoris_DSM_13279_1.mzML;sample;Collinsella_stercoris_DSM_13279
Coprococcus_comes_ATCC_27758_1.mzML;sample;Coprococcus_comes_ATCC_27758
Coprococcus_comes_ATCC_27758_2.mzML;sample;Coprococcus_comes_ATCC_27758
Coprococcus_eutactus_ATCC_27759_1.mzML;sample;Coprococcus_eutactus_ATCC_27759
Coprococcus_eutactus_ATCC_27759_2.mzML;sample;Coprococcus_eutactus_ATCC_27759
Dorea_formicigenerans_ATCC_27755_1.mzML;sample;Dorea_formicigenerans_ATCC_27755
Dorea_formicigenerans_ATCC_27755_2.mzML;sample;Dorea_formicigenerans_ATCC_27755
Dorea_longicatena_DSM_13814_1.mzML;sample;Dorea_longicatena_DSM_13814
Dorea_longicatena_DSM_13814_2.mzML;sample;Dorea_longicatena_DSM_13814
Eubacterium_eligens_ATCC_27750_1.mzML;sample;Eubacterium_eligens_ATCC_27750
Eubacterium_eligens_ATCC_27750_2.mzML;sample;Eubacterium_eligens_ATCC_27750
Eubacterium_hallii_DSM_3353_1.mzML;sample;Eubacterium_hallii_DSM_3353
Eubacterium_hallii_DSM_3353_2.mzML;sample;Eubacterium_hallii_DSM_3353
Eubacterium_rectale_ATCC_33656_1.mzML;sample;Eubacterium_rectale_ATCC_33656
Eubacterium_rectale_ATCC_33656_2.mzML;sample;Eubacterium_rectale_ATCC_33656
Eubacterium_ventriosum_ATCC_27560_1.mzML;sample;Eubacterium_ventriosum_ATCC_27560
Eubacterium_ventriosum_ATCC_27560_2.mzML;sample;Eubacterium_ventriosum_ATCC_27560
Granulicatella_adiacens_ATCC_49175_1.mzML;sample;Granulicatella_adiacens_ATCC_49175
Granulicatella_adiacens_ATCC_49175_2.mzML;sample;Granulicatella_adiacens_ATCC_49175
Holdemania_filiformis_DSM_12042_1.mzML;sample;Holdemania_filiformis_DSM_12042
Holdemania_filiformis_DSM_12042_2.mzML;sample;Holdemania_filiformis_DSM_12042
Intestinimonas_butyriciproducens_DSM_26588_1.mzML;sample;Intestinimonas_butyriciproducens_DSM_26588
Intestinimonas_butyriciproducens_DSM_26588_2.mzML;sample;Intestinimonas_butyriciproducens_DSM_26588
Lactobacillus_ruminis_ATCC_25644_1.mzML;sample;Lactobacillus_ruminis_ATCC_25644
Lactobacillus_ruminis_ATCC_25644_2.mzML;sample;Lactobacillus_ruminis_ATCC_25644
media_mPYG_BHI_1.mzML;medium;medium
media_mPYG_BHI_2.mzML;medium;medium
media_mPYG_BHI_3.mzML;medium;medium
medium_mPYG_1.mzML;medium;medium
medium_mPYG_2.mzML;medium;medium
medium_mPYG_3.mzML;medium;medium
medium_mPYG_4.mzML;medium;medium
medium_mPYG_5.mzML;medium;medium
Odoribacter_splanchnicus_DSM_20712_1.mzML;sample;Odoribacter_splanchnicus_DSM_20712
Odoribacter_splanchnicus_DSM_20712_2.mzML;sample;Odoribacter_splanchnicus_DSM_20712
Oscillibacter_sp_KLE_1728_1.mzML;sample;Oscillibacter_sp_KLE_1728
Oscillibacter_sp_KLE_1728_2.mzML;sample;Oscillibacter_sp_KLE_1728
Parabacteroides_distasonis_ATCC_8503_1.mzML;sample;Parabacteroides_distasonis_ATCC_8503
Parabacteroides_distasonis_ATCC_8503_2.mzML;sample;Parabacteroides_distasonis_ATCC_8503
Parabacteroides_johnsonii_DSM_18315_1.mzML;sample;Parabacteroides_johnsonii_DSM_18315
Parabacteroides_johnsonii_DSM_18315_2.mzML;sample;Parabacteroides_johnsonii_DSM_18315
Parabacteroides_merdae_ATCC_43184_1.mzML;sample;Parabacteroides_merdae_ATCC_43184
Parabacteroides_merdae_ATCC_43184_2.mzML;sample;Parabacteroides_merdae_ATCC_43184
Parabacteroides_sp_D13_1.mzML;sample;Parabacteroides_sp_D13
Parabacteroides_sp_D13_2.mzML;sample;Parabacteroides_sp_D13
pool_qc_hCom_1.mzML;pool;pool
pool_qc_hCom_2.mzML;pool;pool
pool_qc_hCom_3.mzML;pool;pool
pool_qc_hCom_4.mzML;pool;pool
pool_qc_hCom_5.mzML;pool;pool
pool_qc_hCom_6.mzML;pool;pool
pool_qc_hCom_7.mzML;pool;pool
pool_qc_hCom_8.mzML;pool;pool
pool_qc_hCom_9.mzML;pool;pool
pool_qc_hCom_10.mzML;pool;pool
pool_qc_hCom_11.mzML;pool;pool
pool_qc_hCom_12.mzML;pool;pool
pool_qc_hCom_13.mzML;pool;pool
pool_qc_hCom_14.mzML;pool;pool
pool_qc_hCom_15.mzML;pool;pool
pool_qc_hCom_16.mzML;pool;pool
pool_qc_hCom_17_20240515125943.mzML;pool;pool
pool_qc_hCom_17.mzML;pool;pool
pool_qc_hCom_18.mzML;pool;pool
pool_qc_hCom_19.mzML;pool;pool
Prevotella_buccae_D17_1.mzML;sample;Prevotella_buccae_D17
Prevotella_buccae_D17_2.mzML;sample;Prevotella_buccae_D17
Prevotella_buccalis_ATCC_35310_1.mzML;sample;Prevotella_buccalis_ATCC_35310
Prevotella_buccalis_ATCC_35310_2.mzML;sample;Prevotella_buccalis_ATCC_35310
Roseburia_inulinivorans_DSM_16841_1.mzML;sample;Roseburia_inulinivorans_DSM_16841
Roseburia_inulinivorans_DSM_16841_2.mzML;sample;Roseburia_inulinivorans_DSM_16841
Ruminococcus_gauvreauii_DSM_19829_1.mzML;sample;Ruminococcus_gauvreauii_DSM_19829
Ruminococcus_gauvreauii_DSM_19829_2.mzML;sample;Ruminococcus_gauvreauii_DSM_19829
Ruminococcus_gnavus_ATCC_29149_1.mzML;sample;Ruminococcus_gnavus_ATCC_29149
Ruminococcus_gnavus_ATCC_29149_2.mzML;sample;Ruminococcus_gnavus_ATCC_29149
Ruminococcus_gnavus_ATCC_29149_3.mzML;sample;Ruminococcus_gnavus_ATCC_29149
Ruminococcus_gnavus_ATCC_29149_4.mzML;sample;Ruminococcus_gnavus_ATCC_29149
Ruminococcus_lactaris_ATCC_29176_1.mzML;sample;Ruminococcus_lactaris_ATCC_29176
Ruminococcus_lactaris_ATCC_29176_2.mzML;sample;Ruminococcus_lactaris_ATCC_29176
Ruminococcus_torques_ATCC_27756_1.mzML;sample;Ruminococcus_torques_ATCC_27756
sixmix_1.mzML;sixmix;sixmix
sixmix_2.mzML;sixmix;sixmix
sixmix_3.mzML;sixmix;sixmix
sixmix_4.mzML;sixmix;sixmix
sixmix_5.mzML;sixmix;sixmix
sixmix_6.mzML;sixmix;sixmix
sixmix_7.mzML;sixmix;sixmix
sixmix_8.mzML;sixmix;sixmix
sixmix_9.mzML;sixmix;sixmix
sixmix_10.mzML;sixmix;sixmix
sixmix_11.mzML;sixmix;sixmix
sixmix_12.mzML;sixmix;sixmix
sixmix_13.mzML;sixmix;sixmix
sixmix_14_20240515132535.mzML;sixmix;sixmix
sixmix_14.mzML;sixmix;sixmix
sixmix_15.mzML;sixmix;sixmix
sixmix_16.mzML;sixmix;sixmix
TCA.mzML;Standard;Standard
TCDCA.mzML;Standard;Standard
TDCA.mzML;Standard;Standard
three_alpha_12-K.mzML;Standard;Standard
TLCA.mzML;Standard;Standard
