Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
Tryptophan-C3:0	rnlog10_plasma	0.003621	0.104427	203	0.972373	0.999997	Tryptophan
Tyramine-C10:0	rnlog10_plasma	0.009624	0.058907	203	0.870383	0.989072	Tyramine
Tyramine-C10:1	rnlog10_plasma	0.037562	0.063656	203	0.555803	0.853809	Tyramine
Tyramine-C18:1	rnlog10_plasma	-0.02424	0.062763	203	0.699727	0.923712	Tyramine
Tyramine-C18:2	rnlog10_plasma	-0.23118	0.112082	203	0.040446	0.64289	Tyramine
Tyramine-C2:0	rnlog10_plasma	-0.00761	0.082491	203	0.926545	0.999997	Tyramine
Tyramine-C6:0	rnlog10_plasma	-0.01178	0.008617	203	0.173014	0.64289	Tyramine
Tyrosine-C18:1	rnlog10_plasma	-0.04544	0.084031	203	0.5893	0.874439	Tyrosine
Tyrosine-C18:2	rnlog10_plasma	-0.09056	0.046112	203	0.05092	0.64289	Tyrosine
Tyrosine-C2:0	rnlog10_plasma	0.216842	0.125384	203	0.08528	0.64289	Tyrosine
Valine-C16:0	rnlog10_plasma	-0.06013	0.050117	203	0.231594	0.684955	Valine
Valine-C18:2	rnlog10_plasma	-0.11269	0.085699	203	0.190041	0.64289	Valine
2-aminovaleric acid-C2:0	rnlog10_plasma	-0.00101	0.04419	203	0.981717	0.999997	2aminovaleric acid
3-methylhistidine-C2:0	rnlog10_plasma	0.029715	0.033551	203	0.376848	0.76359	3methylhistidine
5-methoxytryptamine-C2:0	rnlog10_plasma	0.055695	0.037813	203	0.142344	0.64289	5methoxytryptamine
